Date,Open,High,Low,Close
03/16/2020,"120.06","132.85","101.11","109.21"
03/15/2020,"127.32","129.20","120.10","120.10"
03/14/2020,"128.72","138.34","125.62","127.62"
03/13/2020,"127.78","142.63","89.98","128.62"
03/12/2020,"193.15","195.78","125.27","128.64"
03/11/2020,"202.94","203.50","182.02","192.70"
03/10/2020,"198.32","206.42","195.12","202.76"
03/09/2020,"209.60","212.06","190.57","198.36"
03/08/2020,"238.70","240.87","204.01","209.61"
03/07/2020,"240.83","252.00","236.76","238.78"
03/06/2020,"231.10","241.49","226.81","240.83"
03/05/2020,"222.80","234.60","222.80","231.10"
03/04/2020,"223.91","228.83","220.77","222.80"
03/03/2020,"232.48","233.16","220.31","223.91"
03/02/2020,"215.02","235.52","214.68","232.68"
03/01/2020,"223.51","227.60","212.40","214.38"
02/29/2020,"226.11","233.31","221.50","223.51"
02/28/2020,"226.55","234.37","214.33","226.49"
02/27/2020,"223.68","238.00","210.14","226.19"
02/26/2020,"249.90","252.88","216.31","223.79"
02/25/2020,"261.86","266.20","245.70","249.90"
02/24/2020,"271.69","278.01","257.00","261.86"
02/23/2020,"262.88","275.45","261.13","271.70"
02/22/2020,"263.21","266.97","257.18","262.88"
02/21/2020,"259.38","268.48","254.75","263.06"
02/20/2020,"261.72","266.57","247.34","259.63"
02/19/2020,"281.16","287.00","252.10","262.99"
02/18/2020,"260.40","286.25","259.08","280.87"
02/17/2020,"252.00","263.24","243.05","260.41"
02/16/2020,"268.28","273.82","238.00","251.90"
02/15/2020,"282.83","288.94","261.00","268.28"
02/14/2020,"262.76","285.93","260.54","282.92"
02/13/2020,"270.00","277.90","257.00","262.80"
02/12/2020,"237.34","275.57","236.55","270.00"
02/11/2020,"222.57","239.48","217.70","237.20"
02/10/2020,"225.20","229.40","217.00","222.31"
02/09/2020,"223.20","230.67","221.84","225.20"
02/08/2020,"219.42","227.94","213.44","223.21"
02/07/2020,"213.35","224.49","210.57","219.42"
02/06/2020,"206.72","216.07","201.21","213.35"
02/05/2020,"187.39","207.80","187.20","206.36"
02/04/2020,"189.48","191.28","184.00","187.38"
02/03/2020,"191.41","195.00","186.43","189.48"
02/02/2020,"182.31","193.16","179.41","191.67"
02/01/2020,"180.68","184.00","178.84","182.30"
01/31/2020,"184.96","186.60","175.12","180.64"
01/30/2020,"175.69","185.00","170.50","184.77"
01/29/2020,"172.36","178.53","172.20","175.82"
01/28/2020,"171.13","174.86","169.22","172.37"
01/27/2020,"166.97","171.75","165.07","171.11"
01/26/2020,"161.37","167.36","159.12","167.11"
01/25/2020,"163.10","163.67","157.51","161.29"
01/24/2020,"162.25","164.30","155.35","163.10"
01/23/2020,"167.55","167.72","159.00","162.28"
01/22/2020,"168.91","170.92","165.61","167.55"
01/21/2020,"166.99","169.58","164.78","168.91"
01/20/2020,"165.71","167.70","160.97","167.04"
01/19/2020,"176.46","177.74","161.98","165.71"
01/18/2020,"170.98","179.00","164.97","176.46"
01/17/2020,"163.11","173.48","162.09","170.87"
01/16/2020,"165.28","167.19","158.87","163.23"
01/15/2020,"164.62","171.61","159.05","165.28"
01/14/2020,"144.17","170.00","143.45","163.72"
01/13/2020,"144.43","146.99","142.12","144.17"
01/12/2020,"143.89","145.60","141.74","144.53"
01/11/2020,"142.96","147.90","141.80","144.11"
01/10/2020,"136.75","145.03","135.29","142.96"
01/09/2020,"139.08","141.57","135.33","136.75"
01/08/2020,"142.54","147.91","137.22","139.12"
01/07/2020,"141.50","145.26","139.01","142.54"
01/06/2020,"135.06","142.86","134.01","141.50"
01/05/2020,"133.93","138.25","133.71","135.28"
01/04/2020,"132.34","135.58","131.94","133.93"
01/03/2020,"127.44","134.58","125.43","132.34"
01/02/2020,"131.52","131.52","126.18","127.44"
01/01/2020,"128.41","132.86","127.93","131.52"
